timestamp_utc,park_id,land,ride,wait_time,is_open,last_updated
2025-09-06T21:07:37.209985+00:00,6,Adventureland,Walt Disney's Enchanted Tiki Room,0,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,"""it's a small world""",30,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Casey Jr. Splash 'N' Soak Station,0,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Cinderella Castle,0,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Dumbo the Flying Elephant,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Enchanted Tales with Belle,30,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Mad Tea Party,20,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Meet Ariel at Her Grotto,55,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,35,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,50,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,60,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,20,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Mickey's PhilharMagic,10,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Peter Pan's Flight,65,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Prince Charming Regal Carrousel,10,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Seven Dwarfs Mine Train,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,The Barnstormer,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,The Many Adventures of Winnie the Pooh,50,True,2025-09-06T21:05:52.000Z
