,PC1,PC2,PC3,PC4
avg_wait,0.5391927466115263,0.2069945074636918,0.055962111866517374,0.8144278346893734
p95_wait,0.4718862235048407,0.7107335494630123,-0.20715874534065085,-0.4788177815859962
med_wait,0.5073771236123404,-0.3264660575358076,0.7374356052310259,-0.30360681126984784
pct_open,0.47870975392478227,-0.5877337907799743,-0.640423472713077,-0.12354650246283139
